spp,sp_code,shpcode,DIVISION,FAMILY,GENUS,SPECIES,Ha,Ma,Ka,Oa,Mo,La,Ke,Ni,Pioneer,Envelope gap,GAP_Habitat,Substrate,Forest,Shrubland,Grassland,Alien_hab_comp,CCE_Area,Common Name,Conservation Status,Status.simplified,Native Status,Coastal,spp_old,family_old,genus_old,species_old,Status.simplified_old,Test spp,TEs,temp
Asplenium aethiopicum,42,Aspaeth,Pteridophyte,Aspleniaceae,Asplenium,aethiopicum,27,34,30,30,25,25,0,0,1,0,0,0,1,1,1,0,5673.2049,‘Iwa‘iwa K?ne,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Asplenium aethiopicum,Aspleniaceae,Asplenium,aethiopicum,Apparently Secure,0,0,0
Asplenium contiguum,43,Aspcont,Pteridophyte,Aspleniaceae,Asplenium,contiguum,28,35,31,31,26,26,0,0,1,0,0,0,1,1,1,0,5900.7528,None,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Asplenium contiguum,Aspleniaceae,Asplenium,contiguum,Apparently Secure,0,0,0
Asplenium excisum,44,Aspexci,Pteridophyte,Aspleniaceae,Asplenium,excisum,29,36,32,32,27,27,0,0,0,0,0,0,1,1,1,0,1060.5528,P?moho,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Asplenium excisum,Aspleniaceae,Asplenium,excisum,Apparently Secure,0,0,0
Asplenium haleakalense,45,Asphale,Pteridophyte,Aspleniaceae,Asplenium,haleakalense,0,37,0,0,0,0,0,0,0,0,0,0,1,1,1,0,9.0225,None,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Asplenium haleakalense,Aspleniaceae,Asplenium,haleakalense,Apparently Secure,0,0,0
Asplenium hobdyi,46,Asphobd,Pteridophyte,Aspleniaceae,Asplenium,hobdyi,30,38,33,0,28,0,0,0,0,0,0,0,1,1,1,0,232.1802,None,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Asplenium hobdyi,Aspleniaceae,Asplenium,hobdyi,Apparently Secure,0,0,0
Asplenium horridum,47,Asphorr,Pteridophyte,Aspleniaceae,Asplenium,horridum,31,39,34,33,29,28,0,0,0,0,0,0,1,1,1,1,4160.0196,‘Iwa,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Asplenium horridum,Aspleniaceae,Asplenium,horridum,Apparently Secure,0,0,0
Asplenium insiticium,48,Aspinsi,Pteridophyte,Aspleniaceae,Asplenium,insiticium,32,40,35,34,30,29,0,0,0,0,0,0,1,1,1,0,803.8386,Pi‘ipi‘i lau manamana ,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Asplenium insiticium,Aspleniaceae,Asplenium,insiticium,Apparently Secure,0,0,0
Asplenium kaulfussii,49,Aspkaul,Pteridophyte,Aspleniaceae,Asplenium,kaulfussii,33,41,36,35,31,30,0,0,0,0,0,0,1,1,1,1,3819.4875,K?au,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Asplenium kaulfussii,Aspleniaceae,Asplenium,kaulfussii,Apparently Secure,0,0,0
Asplenium lobulatum,50,Asplobu,Pteridophyte,Aspleniaceae,Asplenium,lobulatum,34,42,37,36,32,31,0,0,0,0,0,0,1,1,1,0,6573.5505,Pi‘ipi‘i lau manamana ,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Asplenium lobulatum,Aspleniaceae,Asplenium,lobulatum,Apparently Secure,0,0,0
Asplenium macraei,51,Aspmacr,Pteridophyte,Aspleniaceae,Asplenium,macraei,35,43,38,37,33,32,0,0,0,0,0,0,1,1,1,0,3827.4183,‘Iwa‘iwa lau li‘i,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Asplenium macraei,Aspleniaceae,Asplenium,macraei,Apparently Secure,0,0,0
Asplenium monanthes,52,Aspmona,Pteridophyte,Aspleniaceae,Asplenium,monanthes,36,44,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1688.6277,None,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Asplenium monanthes,Aspleniaceae,Asplenium,monanthes,Apparently Secure,0,0,0
Asplenium nidus,53,Aspnidu,Pteridophyte,Aspleniaceae,Asplenium,nidus,37,45,39,38,34,33,0,0,0,0,0,0,1,1,1,1,5934.9654,‘?kaha,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Asplenium nidus,Aspleniaceae,Asplenium,nidus,Apparently Secure,0,0,0
Asplenium normale,54,Aspnorm,Pteridophyte,Aspleniaceae,Asplenium,normale,38,46,40,39,35,34,0,0,0,0,0,0,1,1,1,0,2947.3083,None,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Asplenium normale,Aspleniaceae,Asplenium,normale,Apparently Secure,0,0,0
Asplenium peruvianum,55,Aspperu,Pteridophyte,Aspleniaceae,Asplenium,peruvianum,39,47,0,0,0,0,0,0,1,0,0,0,1,1,1,0,3331.6677,None,Endangered,Endangered,Endemic,Non_coastal,Asplenium peruvianum,Aspleniaceae,Asplenium,peruvianum,Endangered,0,1,0
Asplenium polyodon,56,Asppoly,Pteridophyte,Aspleniaceae,Asplenium,polyodon,40,48,41,40,36,35,0,0,0,0,0,0,1,1,1,0,5152.1823,P?nuna manu,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Asplenium polyodon,Aspleniaceae,Asplenium,polyodon,Apparently Secure,0,0,0
Asplenium schizophyllum,57,Aspschi,Pteridophyte,Aspleniaceae,Asplenium,schizophyllum,41,49,42,0,0,0,0,0,0,0,0,0,1,1,1,0,1591.893,None,Rare,Rare,Endemic,Non_coastal,Asplenium schizophyllum,Aspleniaceae,Asplenium,schizophyllum,Rare,0,0,0
Asplenium sphenotomum,58,Aspsphe,Pteridophyte,Aspleniaceae,Asplenium,sphenotomum,42,50,43,41,37,36,0,0,0,0,0,0,1,1,1,0,943.6068,None,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Asplenium sphenotomum,Aspleniaceae,Asplenium,sphenotomum,Apparently Secure,0,0,0
Asplenium trichomanes,59,Asptric,Pteridophyte,Aspleniaceae,Asplenium,trichomanes,43,51,0,0,0,0,0,0,1,0,0,0,1,1,1,0,5346.3807,‘O?li‘i,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Asplenium trichomanes,Aspleniaceae,Asplenium,trichomanes,Apparently Secure,0,0,0
Asplenium unilaterale,60,Aspunil,Pteridophyte,Aspleniaceae,Asplenium,unilaterale,44,52,44,42,38,37,0,0,0,0,0,0,1,1,1,0,6798.5424,P?moho,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Asplenium unilaterale,Aspleniaceae,Asplenium,unilaterale,Apparently Secure,0,0,0
Astelia argyrocoma,61,Astargy,Monocot,Asteliaceae,Astelia,argyrocoma,0,0,45,0,0,0,0,0,0,0,0,0,1,1,1,0,591.5376,None,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Astelia argyrocoma,Asteliaceae,Astelia,argyrocoma,Apparently Secure,0,0,0
Astelia menziesiana,62,Astmenz,Monocot,Asteliaceae,Astelia,menziesiana,45,53,46,43,39,38,0,0,1,0,0,0,1,1,1,0,6893.9973,Pa‘iniu,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Astelia menziesiana,Asteliaceae,Astelia,menziesiana,Apparently Secure,0,0,0
Astelia waialealae,63,Astwaia,Monocot,Asteliaceae,Astelia,waialealae,0,0,47,0,0,0,0,0,0,0,0,0,1,1,1,0,49.5225,None,Endangered,Endangered,Endemic,Non_coastal,Astelia waialealae,Asteliaceae,Astelia,waialealae,Endangered,0,1,0
Athyrium microphyllum,64,Athmicr,Pteridophyte,Woodsiaceae,Athyrium,microphyllum,46,54,48,44,40,39,0,0,0,0,0,0,1,1,1,0,4971.0744,‘?k?lea,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Athyrium microphyllum,Athyriaceae,Athyrium,microphyllum,Apparently Secure,0,0,0
Bacopa monnieri,65,Bacmonn,Dicot,Plantaginaceae,Bacopa,monnieri,47,55,49,45,41,40,0,6,0,0,0,0,1,1,1,1,2595.7647,‘Ae‘ae,Apparently Secure,Apparently Secure,Indigenous,Coastal,Bacopa monnieri,Plantaginaceae,Bacopa,monnieri,Apparently Secure,0,0,0
Bidens amplectens,66,Bidampl,Dicot,Asteraceae,Bidens,amplectens,0,0,0,46,0,0,0,0,0,0,0,0,1,1,1,1,162.0279,Ko‘oko‘olau,Rare,Rare,Endemic,Non_coastal,Bidens amplectens,Asteraceae,Bidens,amplectens,Rare,0,0,0
Bidens asymmetrica,67,Bidasym,Dicot,Asteraceae,Bidens,asymmetrica,0,0,0,47,0,0,0,0,0,0,0,0,1,1,1,0,155.9034,Ko‘oko‘olau,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Bidens asymmetrica,Asteraceae,Bidens,asymmetrica,Apparently Secure,0,0,0
Bidens campylotheca,68,Bidcamp,Dicot,Asteraceae,Bidens,campylotheca,48,56,50,48,0,41,0,0,0,0,0,0,1,1,1,0,3817.3239,Ko‘oko‘olau,"Rare, including vulnerable subspecies",Rare,Endemic,Non_coastal,Bidens campylotheca,Asteraceae,Bidens,campylotheca,Rare,0,0,0
Bidens cervicata,69,Bidcerv,Dicot,Asteraceae,Bidens,cervicata,0,0,51,49,0,0,0,7,0,0,0,0,1,1,1,0,766.0395,Ko‘oko‘olau,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Bidens cervicata,Asteraceae,Bidens,cervicata,Apparently Secure,0,0,0
Bidens conjuncta,70,Bidconj,Dicot,Asteraceae,Bidens,conjuncta,0,57,0,0,0,0,0,0,0,0,0,0,1,1,1,0,62.7912,Ko‘oko‘olau,Rare,Rare,Endemic,Non_coastal,Bidens conjuncta,Asteraceae,Bidens,conjuncta,Rare,0,0,0
Bidens cosmoides,71,Bidcosm,Dicot,Asteraceae,Bidens,cosmoides,0,0,52,0,0,0,0,0,0,0,0,0,1,1,1,1,251.037,Po‘o‘l? nui,Vulnerable,Vulnerable,Endemic,Non_coastal,Bidens cosmoides,Asteraceae,Bidens,cosmoides,Vulnerable,0,0,0
Bidens forbesii,72,Bidforb,Dicot,Asteraceae,Bidens,forbesii,0,0,53,0,0,0,0,0,0,0,0,0,1,1,1,0,678.4254,Ko‘oko‘olau,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Bidens forbesii,Asteraceae,Bidens,forbesii,Apparently Secure,0,0,0
Bidens hawaiensis,73,Bidhawa,Dicot,Asteraceae,Bidens,hawaiensis,49,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1423.9755,Ko‘oko‘olau,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Bidens hawaiensis,Asteraceae,Bidens,hawaiensis,Apparently Secure,0,0,0
Bidens hillebrandiana,74,Bidhill,Dicot,Asteraceae,Bidens,hillebrandiana,50,58,0,0,42,0,0,0,0,0,0,0,1,1,1,0,18.2106,Ko‘oko‘olau,"Apparently Secure, including vulnerable subspecies",Rare,Endemic,Coastal,Bidens hillebrandiana,Asteraceae,Bidens,hillebrandiana,Apparently Secure,0,0,0
Bidens macrocarpa,75,Bidmacr,Dicot,Asteraceae,Bidens,macrocarpa,0,0,0,50,0,0,0,0,0,0,0,0,1,1,1,0,193.5414,Ko‘oko‘olau,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Bidens macrocarpa,Asteraceae,Bidens,macrocarpa,Apparently Secure,0,0,0
Bidens mauiensis,76,Bidmaui,Dicot,Asteraceae,Bidens,mauiensis,0,59,0,0,0,42,6,0,0,0,0,0,1,1,1,0,1136.5614,Ko‘oko‘olau,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Bidens mauiensis,Asteraceae,Bidens,mauiensis,Apparently Secure,0,0,0
Bidens menziesii,77,Bidmenz,Dicot,Asteraceae,Bidens,menziesii,51,60,0,0,43,0,0,0,1,0,0,0,1,1,1,1,2991.6207,Ko‘oko‘olau,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Bidens menziesii,Asteraceae,Bidens,menziesii,Apparently Secure,0,0,0
Bidens micrantha,78,Bidmicr,Dicot,Asteraceae,Bidens,micrantha,52,61,0,0,0,43,0,0,0,0,0,0,1,1,1,0,2121.8985,Ko‘oko‘olau,"Apparently Secure, including endangered and vulnerable subspecies",Apparently Secure,Endemic,Non_coastal,Bidens micrantha,Asteraceae,Bidens,micrantha,Apparently Secure,0,0,0
Bidens molokaiensis,79,Bidmolo,Dicot,Asteraceae,Bidens,molokaiensis,0,0,0,51,44,0,0,0,0,0,0,0,1,1,1,0,112.8123,Ko‘oko‘olau,Vulnerable,Vulnerable,Endemic,Non_coastal,Bidens molokaiensis,Asteraceae,Bidens,molokaiensis,Vulnerable,0,0,0
Bidens populifolia,80,Bidpopu,Dicot,Asteraceae,Bidens,populifolia,0,0,0,52,0,0,0,0,0,0,0,0,1,1,1,0,534.8853,Ko‘oko‘olau,Rare,Rare,Endemic,Non_coastal,Bidens populifolia,Asteraceae,Bidens,populifolia,Rare,0,0,0
Bidens sandvicensis,81,Bidsand,Dicot,Asteraceae,Bidens,sandvicensis,0,0,54,53,0,0,0,0,0,0,0,0,1,1,1,1,1795.9923,Ko‘oko‘olau,"Apparently Secure, including vulnerable subspecies",Apparently Secure,Endemic,Non_coastal,Bidens sandvicensis,Asteraceae,Bidens,sandvicensis,Apparently Secure,0,0,0
Bidens torta,82,Bidtort,Dicot,Asteraceae,Bidens,torta,0,0,0,54,0,0,0,0,0,0,0,0,1,1,1,1,704.8206,Ko‘oko‘olau,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Bidens torta,Asteraceae,Bidens,torta,Apparently Secure,0,0,0
